Model,Noise,Level,mAP@50,Precision,Recall,F1,Latency(ms)
YOLO26n,Poisson,0.0,0.8392428707538127,0.85546875,0.7423728813559322,0.7949178328137737,233.8283280000178
YOLO26n,Poisson,0.01,0.5169368421052631,1.0,0.03389830508474576,0.06557370706805384,244.31597300001158
YOLO26n,Poisson,0.05,0.6765585502914012,0.8208092485549133,0.48135593220338985,0.6068371408159763,244.96214700000564
YOLO26n,Poisson,0.1,0.7671233599240035,0.8859536103537219,0.6056725847578213,0.7194797934993883,241.9573709999895
YOLO26n,Poisson,1.0,0.8134084158412934,0.8675213675213675,0.688135593220339,0.7674853289549736,221.23677699997643
YOLO26n,Poisson,10.0,0.8400136024172087,0.8549019607843137,0.7389830508474576,0.7927267753722129,235.13845699999365
YOLO26s,Gaussian,0.0,0.880597726311503,0.8710086016866522,0.801141505813705,0.8346149335451553,565.611785000001
YOLO26s,Gaussian,0.1,0.8060257373372494,0.7924528301886793,0.711864406779661,0.7499995014352805,536.6498990000036
YOLO26s,Gaussian,0.2,0.681247765391881,0.8228571428571428,0.488135593220339,0.612765490041099,211.2369419999959
YOLO26s,Gaussian,0.5,0.0,0.0,0.0,0.0,218.84492799999862
YOLO26s,Gaussian,1.0,0.0,0.0,0.0,0.0,220.30881099999533
YOLO26s,Gaussian,2.0,0.0,0.0,0.0,0.0,232.9456190000201
YOLO26s,Salt_Pepper,0.0,0.880597726311503,0.8710086016866522,0.801141505813705,0.8346149335451553,234.47431000000506
YOLO26s,Salt_Pepper,0.01,0.7317913953659246,0.8155339805825242,0.5694915254237288,0.6706581984139018,237.1613090000028
YOLO26s,Salt_Pepper,0.05,0.5867904718842698,0.8048780487804879,0.33559322033898303,0.47368379518591397,251.3406219999888
YOLO26s,Salt_Pepper,0.1,0.5328342035947822,0.706766917293233,0.31864406779661014,0.43925190808190956,289.73778700001276
YOLO26s,Salt_Pepper,0.3,0.5033788395904438,1.0,0.006779661016949152,0.013468000090706983,304.0804520000165
YOLO26s,Salt_Pepper,0.5,0.0,0.0,0.0,0.0,314.20808599999873
YOLO26s,Poisson,0.0,0.880597726311503,0.8710086016866522,0.801141505813705,0.8346149335451553,335.92008599996916
YOLO26s,Poisson,0.01,0.43522225077081195,0.8095238095238095,0.0576271186440678,0.10759481263033055,293.98194800000056
YOLO26s,Poisson,0.05,0.7481494048565897,0.8144796380090498,0.6101694915254238,0.6976739288883314,302.72488300000987
YOLO26s,Poisson,0.1,0.7949122425750453,0.796875,0.6915254237288135,0.7404713718337604,301.02788399999554
YOLO26s,Poisson,1.0,0.8569571124513977,0.9289550797930215,0.7091876710752427,0.8043292772355832,299.0993140000137
YOLO26s,Poisson,10.0,0.8820029930816982,0.8817347155126571,0.7966101694915254,0.8370132133631673,290.25113200001215
